Time(s)	PatientWeight(g)	HeartRate(1/min)	HeartStrokeVolume(mL)	BloodVolume(mL)	ExtravascularFluidVolume(mL)	ArterialPressure(mmHg)	MeanArterialPressure(mmHg)	SystolicArterialPressure(mmHg)	DiastolicArterialPressure(mmHg)	CardiacOutput(mL/min)	HemoglobinContent(g)	CentralVenousPressure(mmHg)	PulmonaryCapillariesWedgePressure(mmHg)	RespirationRate(1/min)	OxygenSaturation	CarbonDioxideSaturation	TidalVolume(mL)	TotalLungVolume(mL)	EndTidalCarbonDioxideFraction	TotalAlveolarVentilation(L/min)	TranspulmonaryPressure(cmH2O)	RespiratoryQuotient	CoreTemperature(degC)	SkinTemperature(degC)	GlomerularFiltrationRate(mL/day)	RenalBloodFlow(mL/min)	UrineProductionRate(mL/min)	LeftAfferentArterioleResistance(mmHg_min/mL)	RightAfferentArterioleResistance(mmHg_min/mL)	OxygenConsumptionRate(mL/min)	CarbonDioxideProductionRate(mL/min)	Aorta-Vascular-Oxygen-PartialPressure(mmHg)	Aorta-Vascular-CarbonDioxide-PartialPressure(mmHg)	VenaCava-Vascular-Oxygen-PartialPressure(mmHg)	VenaCava-Vascular-CarbonDioxide-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-Pressure(cmH2O)	LeftAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	LeftAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	RightAlveoli-Pulmonary-Pressure(cmH2O)	RightAlveoli-Pulmonary-Oxygen-PartialPressure(mmHg)	RightAlveoli-Pulmonary-CarbonDioxide-PartialPressure(mmHg)	Trachea-Pulmonary-Oxygen-PartialPressure(cmH2O)	Trachea-Pulmonary-CarbonDioxide-PartialPressure(cmH2O)	RightTubules-Urine-Sodium-Concentration(mg/mL)	RightTubules-Urine-Albumin-Concentration(mg/mL)	LeftTubules-Urine-Sodium-Concentration(mg/mL)	LeftTubules-Urine-Albumin-Concentration(mg/mL)	Oxygen-AlveolarTransfer(mL/s)	CarbonDioxide-AlveolarTransfer(mL/s)	NeuromuscularBlockLevel	SedationLevel	Brain-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Brain-Vascular-Propofol-Concentration(ug/mL)	Fat-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Fat-Vascular-Propofol-Concentration(ug/mL)	LeftKidney-Tissue-Propofol-ExtravascularConcentration(ug/mL)	LeftKidney-Vascular-Propofol-Concentration(ug/mL)	RightKidney-Tissue-Propofol-ExtravascularConcentration(ug/mL)	RightKidney-Vascular-Propofol-Concentration(ug/mL)	Liver-Tissue-Propofol-ExtravascularConcentration(ug/mL)	Liver-Vascular-Propofol-Concentration(ug/mL)	Propofol-MassInBody(ug)	Propofol-PlasmaConcentration(ug/mL)	Propofol-RemainingSystemicMassCleared(ug)	Propofol-Kidneys-PartitionCoefficient	Propofol-Brain-PartitionCoefficient	Propofol-RightLung-PartitionCoefficient	Propofol-LeftLung-PartitionCoefficient	Propofol-Liver-PartitionCoefficient	Propofol-Bone-PartitionCoefficient	Propofol-Fat-PartitionCoefficient	Propofol-Skin-PartitionCoefficient	Propofol-Muscle-PartitionCoefficient	Propofol-Spleen-PartitionCoefficient	Propofol-Gut-PartitionCoefficient	Propofol-Myocardium-PartitionCoefficient	Propofol-Liver-MassCleared(ug)	Propofol-Liver-MassExcreted(ug)	Propofol-Kidneys-MassCleared(ug)	Propofol-Kidneys-MassExcreted(ug)	
81.9	78467.8	65.8537	101.614	5137.37	34091	71.7925	78.5957	103.514	52.0653	6691.68	738.158	6.41508	7.44277	0	0.863754	0.289296	0	2361.25	0.0367687	0	11.0537	0.834026	37.0429	33.0537	151080	637.504	1.02034	0.0400333	0.0400333	224.801	187.49	51.4751	43.0227	42.1149	43.6435	1033.23	57.8048	43.7902	1033.23	52.9133	43.7529	174.097	37.9904	2.5289	0	2.5289	0	1.95104	4.43602	0	0.952952	7.64553	4.84149	1.10499	6.54662	0	10.4757	0	10.4757	6.28877	4.09622	195789	15.4928	4170.91	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	6.56109	33.4276	0	nan
82.9111	78467.8	66.6667	100.969	5137.81	34090.5	64.6694	78.9312	103.44	52.5484	6731.29	738.158	6.33649	7.42038	0	0.860587	0.289903	0	2361.25	0.0367687	0	11.0537	0.832869	37.043	33.0542	124805	509.279	0.878019	0.0400333	0.0400333	223.527	186.169	51.1004	43.2037	41.9641	43.6802	1033.23	57.1693	43.8372	1033.23	52.4148	43.8044	174.097	37.9904	2.52889	0	2.52889	0	1.71921	-1.85678	0	0.95195	7.70383	4.74559	1.12158	6.43884	0	10.2777	0	10.2777	6.36757	4.01322	195762	15.154	4196.61	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	6.82564	34.6361	0	nan
83.9222	78467.8	66.6667	100.303	5138.24	34090.1	59.1628	79.1017	103.632	52.651	6686.87	738.158	6.27017	7.37753	0	0.857558	0.290403	0	2361.25	0.0367687	0	11.0537	0.831579	37.0432	33.0546	100503	451.132	0.736809	0.0400333	0.0400333	222.124	184.713	50.8069	43.3504	41.9243	43.7174	1033.23	56.5618	43.9161	1033.23	51.9382	43.8885	174.097	37.9904	2.52895	0	2.52895	0	1.3547	-1.17934	0	0.95095	7.7597	4.65564	1.1375	6.33527	0	10.0858	0	10.0858	6.44424	3.93231	195735	14.8295	4221.6	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	7.09345	35.8514	0	nan
84.9333	78467.8	66.6667	99.5424	5138.68	34089.7	54.9118	79.0869	103.517	52.7148	6636.16	738.158	6.21463	7.34165	0	0.85469	0.290802	0	2361.25	0.0367687	0	11.0537	0.830211	37.0434	33.055	80250.4	425.67	0.614092	0.0400333	0.0400333	220.654	183.189	50.4338	43.4653	41.6787	43.7531	1033.23	55.9802	43.9713	1033.23	51.4841	43.946	174.097	37.9904	2.52906	0	2.52906	0	1.06875	-0.638345	0	0.94995	7.81359	4.57028	1.15284	6.23531	0	9.89906	0	9.89906	6.5189	3.85359	195710	14.5179	4245.89	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	7.36446	37.0736	0	nan
85.9444	78467.8	67.5	98.3516	5139.12	34089.2	84.4501	79.5771	103.63	53.1185	6638.73	738.158	6.22726	7.27833	0	0.851374	0.2977	0	2361.25	0.0367687	0	11.0537	0.838678	37.0436	33.0554	75210.5	1376.21	0.527345	0.0400333	0.0400333	230.108	192.986	49.9021	45.9474	41.5925	43.8437	1033.23	55.4174	44.0505	1033.23	51.0445	44.0293	174.097	37.9904	2.5293	0	2.5293	0	1.13354	-2.38573	0	0.948896	7.86754	4.50477	1.16818	6.13782	0	9.81454	0	9.81454	6.59215	3.77829	195685	14.2026	4269.52	160.384	420.469	39.2659	39.2659	263.243	460.244	595.546	200.649	161.797	165.691	333.623	104.854	7.63859	38.3112	0	nan
86.9556	78467.8	67.5	97.6046	5139.53	34088.8	103.338	79.5485	103.527	53.1869	6588.31	738.158	6.25157	7.24458	0	0.847582	0.2894	0	2361.25	0.0367687	0	11.0537	0.836236	37.0437	33.0558	137860	2087.72	0.78789	0.0400333	0.0400333	227.304	190.08	49.6076	42.957	41.4645	43.8707	1033.23	54.8451	44.1472	1033.23	50.6034	44.1306	174.097	37.9904	2.52964	0	2.52964	0	1.65376	-0.911328	0	0.947656	7.92594	4.4201	1.18471	6.03119	0	9.50225	0	9.50225	6.66528	3.70567	195660	13.848	4292.52	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	7.91578	39.5864	0	nan
87.9667	78467.8	67.5	97.0157	5139.9	34088.5	99.0583	79.5218	103.451	53.6137	6548.56	738.158	6.28374	7.2185	0	0.844612	0.289676	0	2361.25	0.0367687	0	11.0537	0.83432	37.0439	33.0562	184339	1636.1	1.00222	0.0400333	0.0400333	225.153	187.85	49.1811	43.018	41.3583	43.8983	1033.23	54.2775	44.1654	1033.23	50.1697	44.1471	174.097	37.9904	2.53009	0	2.53009	0	1.65239	0.810528	0	0.946445	7.98406	4.32284	1.20119	5.92294	0	9.26856	0	9.26856	6.73716	3.6344	195636	13.5175	4314.89	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	8.19598	40.8798	0	nan
88.9778	78467.8	68.3544	96.4366	5140.24	34088.1	85.0738	79.9939	103.652	53.7445	6591.87	738.158	6.31184	7.18738	0	0.841659	0.28946	0	2361.25	0.0367687	0	11.0537	0.83246	37.0441	33.0566	185201	1036.28	1.03703	0.0400333	0.0400333	223.105	185.726	48.821	42.9152	41.1409	43.8966	1033.23	53.7325	44.1486	1033.23	49.7553	44.1268	174.097	37.9904	2.53056	0	2.53056	0	1.42541	1.1772	0	0.94533	8.03885	4.23212	1.21681	5.82004	0	9.08033	0	9.08033	6.80703	3.56443	195613	13.2264	4336.67	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	8.4791	42.1762	0	nan
89.9889	78467.8	69.2308	95.7732	5140.58	34087.8	72.2778	80.3322	103.607	54.2203	6630.45	738.158	6.22947	7.16298	0	0.838442	0.290396	0	2361.25	0.0367687	0	11.0537	0.831207	37.0442	33.057	151909	650.819	1.01773	0.0400333	0.0400333	221.746	184.317	48.4464	43.2061	41.027	43.8633	1033.23	53.2176	43.9883	1033.23	49.3653	43.9536	174.097	37.9904	2.53045	0	2.53045	0	1.5258	0.823525	0	0.944273	8.09019	4.15113	1.23151	5.7235	0	8.92751	0	8.92751	6.87479	3.49596	195590	12.9609	4357.87	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	8.76507	43.4721	0	nan
91	78467.8	69.2308	95.1855	5140.93	34087.4	63.3478	80.4824	103.775	54.369	6589.76	738.158	6.14712	7.124	0	0.835305	0.291101	0	2361.25	0.0367687	0	11.0537	0.829756	37.0444	33.0574	117677	506.562	0.825866	0.0400333	0.0400333	220.194	182.707	48.0049	43.4208	40.973	43.9042	1033.23	52.6928	44.0839	1033.23	48.9649	44.0575	174.097	37.9904	2.53035	0	2.53035	0	1.22766	-1.50088	0	0.943233	8.13846	4.07884	1.24535	5.63299	0	8.78226	0	8.78226	6.94053	3.42909	195568	12.7095	4378.52	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	9.05385	44.7672	0	nan
92.0111	78467.8	69.2308	94.5092	5141.29	34087.1	57.002	80.4385	103.645	54.4371	6542.94	738.158	6.08395	7.09286	0	0.832373	0.29162	0	2361.25	0.0367687	0	11.0537	0.828133	37.0446	33.0577	88700.2	453.438	0.654593	0.0400333	0.0400333	218.483	180.933	47.7903	43.576	40.8604	43.9432	1033.23	52.199	44.1552	1033.23	48.5885	44.1326	174.097	37.9904	2.53036	0	2.53036	0	0.958549	-0.673318	0	0.942205	8.18446	4.01193	1.25853	5.5471	0	8.64088	0	8.64088	7.00444	3.36396	195546	12.4699	4398.64	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	9.34535	46.0629	0	nan
93.0222	78467.8	70.1299	93.4453	5141.66	34086.7	95.6866	80.8778	103.721	55.0193	6553.3	738.158	6.11522	7.03816	0	0.828325	0.29349	0	2361.25	0.0367687	0	11.0537	0.835621	37.0448	33.0581	96336	1832.8	0.61609	0.0400333	0.0400333	226.636	189.381	47.3143	44.2433	40.6272	44.0349	1033.23	51.7186	44.2638	1033.23	48.2217	44.2473	174.097	37.9904	2.53062	0	2.53062	0	1.12781	-2.33832	0	0.941075	8.23188	3.96487	1.27204	5.46203	0	8.55308	0	8.55308	7.06752	3.3023	195525	12.2159	4418.26	160.384	420.468	39.2658	39.2658	263.242	460.243	595.545	200.649	161.796	165.691	333.622	104.854	9.63953	47.3787	0	nan
94.0333	78467.8	70.1299	92.7587	5141.98	34086.4	102.109	80.8128	103.585	55.0663	6505.15	738.158	6.15818	7.00745	0	0.824938	0.290404	0	2361.25	0.0367687	0	11.0537	0.832567	37.0449	33.0585	171131	1851.83	0.93563	0.0400333	0.0400333	223.244	185.866	47.0075	43.1205	40.5354	44.062	1033.23	51.2295	44.3368	1033.23	47.8517	44.3226	174.097	37.9904	2.53104	0	2.53104	0	1.39237	0.326821	0	0.939778	8.28379	3.88898	1.28678	5.36661	0	8.30574	0	8.30574	7.13078	3.24245	195504	11.9363	4437.38	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	9.93636	48.7359	0	nan
95.0444	78467.8	70.1299	92.2666	5142.27	34086.1	88.6724	80.764	103.472	55.1132	6470.65	738.158	6.20181	6.98356	0	0.822034	0.290149	0	2361.25	0.0367687	0	11.0537	0.830463	37.0451	33.0588	189081	1178.07	1.03606	0.0400333	0.0400333	220.968	183.506	46.6699	43.0031	40.3642	44.0893	1033.23	50.7561	44.3182	1033.23	47.4951	44.3001	174.097	37.9904	2.53153	0	2.53153	0	1.25261	1.36567	0	0.938597	8.33328	3.81297	1.30086	5.27479	0	8.13862	0	8.13862	7.19244	3.18358	195484	11.6922	4456.02	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	10.2358	50.0967	0	nan
96.0556	78467.8	71.0526	91.879	5142.55	34085.8	73.2917	81.0949	103.434	55.5703	6528.24	738.158	6.12777	6.97158	0	0.818903	0.291202	0	2361.25	0.0367687	0	11.0537	0.829091	37.0453	33.0592	154617	677.219	1.02661	0.0400333	0.0400333	219.51	181.994	46.3762	43.3363	40.1464	44.0265	1033.23	50.3102	44.1479	1033.23	47.162	44.1163	174.097	37.9904	2.53143	0	2.53143	0	1.2775	0.369034	0	0.937513	8.37912	3.74545	1.31395	5.18977	0	8.0166	0	8.0166	7.25215	3.12577	195464	11.4761	4474.21	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	10.5377	51.4513	0	nan
97.0667	78467.8	71.0526	91.4605	5142.85	34085.5	63.1333	81.282	103.687	55.7142	6498.51	738.158	6.04134	6.9393	0	0.815827	0.291954	0	2361.25	0.0367687	0	11.0537	0.827483	37.0455	33.0595	115738	513.593	0.808221	0.0400333	0.0400333	217.826	180.247	46.0557	43.5675	40.0812	44.0696	1033.23	49.8549	44.2561	1033.23	46.816	44.2337	174.097	37.9904	2.53126	0	2.53126	0	1.02082	-1.29008	0	0.93646	8.42177	3.68685	1.32614	5.11124	0	7.90263	0	7.90263	7.30997	3.06927	195444	11.2732	4491.95	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	10.8421	52.7989	0	nan
98.0778	78467.8	72	90.382	5143.17	34085.2	60.8729	81.7409	103.79	56.3094	6507.51	738.158	6.01125	6.88628	0	0.813308	0.304141	0	2361.25	0.0367687	0	11.0537	0.825767	37.0456	33.0599	84065.5	541.078	0.569386	0.0400333	0.0400333	216.057	178.413	45.8246	47.9592	39.841	44.1715	1033.23	49.4303	44.3367	1033.23	46.4926	44.3185	174.097	37.9904	2.53131	0	2.53131	0	0.792448	-1.71075	0	0.935427	8.46235	3.63457	1.33771	5.03727	0	7.81554	0	7.81554	7.36622	3.01427	195425	11.0805	4509.28	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	11.1488	54.1444	0	nan
99.0889	78467.8	72	89.7559	5143.47	34084.9	103.5	81.6718	103.639	56.3501	6462.42	738.158	6.06552	6.85718	0	0.808453	0.291259	0	2361.25	0.0367687	0	11.0537	0.831308	37.0458	33.0602	149767	2020.83	0.841006	0.0400333	0.0400333	221.898	184.465	45.4213	43.2953	39.7164	44.1976	1033.23	48.9997	44.4689	1033.23	46.1654	44.4578	174.097	37.9904	2.53168	0	2.53168	0	1.21293	-0.591768	0	0.934142	8.50864	3.59192	1.3508	4.95645	0	7.65747	0	7.65747	7.42297	2.96328	195407	10.8494	4526.19	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	11.458	55.5379	0	nan
100.1	78467.8	72	89.2727	5143.72	34084.6	92.6036	81.6023	103.5	56.3806	6427.63	738.158	6.12057	6.83411	0	0.805507	0.290685	0	2361.25	0.0367687	0	11.0537	0.829038	37.046	33.0606	190737	1339.86	1.03735	0.0400333	0.0400333	219.475	181.953	45.1014	43.0545	39.5698	44.2247	1033.23	48.5759	44.4641	1033.23	45.8459	44.4496	174.097	37.9904	2.53218	0	2.53218	0	1.15161	1.16835	0	0.932906	8.5549	3.52614	1.3639	4.87289	0	7.49709	0	7.49709	7.47895	2.91265	195389	10.6356	4542.72	160.384	420.467	39.2658	39.2658	263.242	460.242	595.543	200.648	161.796	165.69	333.622	104.854	11.7695	56.9483	0	nan
101.111	78467.8	72	88.8527	5143.96	34084.4	75.0396	81.557	103.423	56.4115	6397.39	738.158	6.06482	6.81498	0	0.802572	0.291824	0	2361.25	0.0367687	0	11.0537	0.827376	37.0462	33.0609	159479	722.251	1.04783	0.0400333	0.0400333	217.734	180.148	44.7835	43.4288	39.4221	44.1603	1033.23	48.1814	44.284	1033.23	45.5511	44.2547	174.097	37.9904	2.53214	0	2.53214	0	1.17071	1.9611	0	0.931805	8.59698	3.46813	1.37584	4.79695	0	7.39425	0	7.39425	7.53298	2.86263	195371	10.4514	4558.86	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	12.0833	58.3451	0	nan
102.122	78467.8	72.973	88.5474	5144.22	34084.1	63.4766	81.8979	103.406	56.8763	6461.57	738.158	5.97209	6.80725	0	0.799564	0.29264	0	2361.25	0.0367687	0	11.0537	0.825654	37.0463	33.0612	116453	524.041	0.808325	0.0400333	0.0400333	215.96	178.309	44.5325	43.6829	39.2568	44.2053	1033.23	47.7753	44.3942	1033.23	45.2397	44.3748	174.097	37.9904	2.53189	0	2.53189	0	0.885758	-1.20136	0	0.930749	8.63603	3.41852	1.38691	4.72724	0	7.30158	0	7.30158	7.5853	2.81371	195353	10.2805	4574.63	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.649	161.796	165.691	333.622	104.854	12.3993	59.7317	0	nan
103.133	78467.8	72.973	87.7127	5144.51	34083.8	74.9548	82.0886	103.63	57.075	6400.66	738.158	5.95538	6.75701	0	0.796657	0.306339	0	2361.25	0.0367687	0	11.0537	0.829706	37.0465	33.0616	86071.9	922.043	0.575232	0.0400333	0.0400333	220.199	182.701	44.2783	48.5381	39.0932	44.306	1033.23	47.396	44.4851	1033.23	44.9479	44.4706	174.097	37.9904	2.53194	0	2.53194	0	0.760976	-2.28512	0	0.929707	8.67319	3.38036	1.39741	4.66258	0	7.27603	0	7.27603	7.63618	2.7664	195336	10.1166	4590.05	160.385	420.469	39.2659	39.2659	263.243	460.244	595.547	200.649	161.797	165.691	333.623	104.855	12.7174	61.1132	0	nan
104.144	78467.8	73.9726	87.3573	5144.77	34083.6	102.864	82.4136	103.578	57.544	6462.05	738.158	6.02089	6.74852	0	0.792159	0.291953	0	2361.25	0.0367687	0	11.0537	0.82878	37.0467	33.0619	171242	1873.87	0.93746	0.0400333	0.0400333	219.222	181.687	43.9512	43.4074	38.8985	44.3322	1033.23	47.007	44.5986	1033.23	44.6498	44.5895	174.097	37.9904	2.53235	0	2.53235	0	1.07237	0.216977	0	0.928402	8.71712	3.33683	1.40971	4.58779	0	7.08374	0	7.08374	7.68796	2.72259	195319	9.91839	4605.14	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	13.0377	62.5533	0	nan
105.156	78467.8	73.9726	86.9827	5144.96	34083.4	84.5674	82.5939	103.813	57.68	6434.33	738.158	6.06389	6.71864	0	0.789345	0.291891	0	2361.25	0.0367687	0	11.0537	0.826513	37.0469	33.0622	182708	1003.6	1.10504	0.0400333	0.0400333	216.859	179.236	43.6367	43.3564	38.7811	44.2853	1033.23	46.6332	44.5665	1033.23	44.3646	44.5524	174.097	37.9904	2.53282	0	2.53282	0	0.913672	1.03873	0	0.927214	8.75923	3.28067	1.42155	4.51416	0	6.96434	0	6.96434	7.73867	2.67881	195303	9.74405	4619.89	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	13.3602	63.998	0	nan
106.167	78467.8	73.9726	86.4513	5145.18	34083.2	68.8595	82.5465	103.704	57.7195	6395.03	738.158	5.95642	6.69439	0	0.78636	0.292918	0	2361.25	0.0367687	0	11.0537	0.824883	37.0471	33.0625	137994	600.54	0.927743	0.0400333	0.0400333	215.193	177.509	43.5032	43.6821	38.686	44.3044	1033.23	46.2743	44.4643	1033.23	44.0904	44.4436	174.097	37.9904	2.53241	0	2.53241	0	0.944144	-1.84098	0	0.926138	8.79685	3.23503	1.43215	4.44899	0	6.88547	0	6.88547	7.78751	2.63539	195287	9.59087	4634.33	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	13.6847	65.4225	0	nan
107.178	78467.8	73.9726	86.0555	5145.42	34082.9	59.1064	82.493	103.591	57.7497	6365.75	738.158	5.88373	6.67556	0	0.783652	0.293592	0	2361.25	0.0367687	0	11.0537	0.823019	37.0472	33.0628	96082.8	492.603	0.684251	0.0400333	0.0400333	213.319	175.566	43.1664	43.8927	38.4531	44.3768	1033.23	45.9213	44.5587	1033.23	43.8169	44.5439	174.097	37.9904	2.53225	0	2.53225	0	0.681238	-0.601444	0	0.92511	8.83167	3.19583	1.44192	4.38958	0	6.80993	0	6.80993	7.83478	2.59287	195271	9.44872	4648.47	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	14.0112	66.8331	0	nan
108.189	78467.8	75	85.4145	5145.67	34082.7	103.718	82.7914	103.512	58.2455	6406.09	738.158	5.95475	6.65474	0	0.779094	0.292732	0	2361.25	0.0367687	0	11.0537	0.827904	37.0474	33.0631	148394	2023.48	0.836792	0.0400333	0.0400333	218.322	180.75	42.9068	43.5848	38.3862	44.4392	1033.23	45.5707	44.7014	1033.23	43.5433	44.6947	174.097	37.9904	2.5326	0	2.5326	0	0.958196	-0.760634	0	0.92391	8.87052	3.16903	1.45271	4.32682	0	6.72465	0	6.72465	7.88222	2.55381	195255	9.2877	4662.31	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	14.3397	68.2809	0	nan
109.2	78467.8	75	85.1307	5145.85	34082.5	89.4243	82.9985	103.782	58.3894	6384.8	738.158	6.02447	6.62851	0	0.776225	0.292214	0	2361.25	0.0367687	0	11.0537	0.825278	37.0476	33.0634	191044	1191.61	1.04354	0.0400333	0.0400333	215.612	177.939	42.6964	43.3723	38.1037	44.4544	1033.23	45.2244	44.6867	1033.23	43.2758	44.6756	174.097	37.9904	2.53313	0	2.53313	0	0.896173	1.30838	0	0.922692	8.9111	3.1186	1.46398	4.25884	0	6.59945	0	6.59945	7.92954	2.51538	195240	9.12925	4675.87	160.384	420.467	39.2658	39.2658	263.242	460.242	595.543	200.648	161.796	165.69	333.622	104.854	14.6702	69.7577	0	nan
110.211	78467.8	75	84.678	5146.03	34082.3	71.2553	82.9786	103.713	58.4364	6350.85	738.158	5.92403	6.60772	0	0.7734	0.293355	0	2361.25	0.0367687	0	11.0537	0.823625	37.0478	33.0637	146463	644.488	0.97294	0.0400333	0.0400333	213.942	176.208	42.3721	43.7379	37.9578	44.408	1033.23	44.8977	44.5539	1033.23	43.0239	44.5335	174.097	37.9904	2.53276	0	2.53276	0	0.879946	-1.95653	0	0.921608	8.94711	3.07692	1.47402	4.1989	0	6.53098	0	6.53098	7.9751	2.47696	195225	8.99249	4689.16	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	15.0027	71.2112	0	nan
111.222	78467.8	75	84.3536	5146.25	34082.1	60.3401	82.9506	103.635	58.4747	6326.52	738.158	5.84176	6.59216	0	0.770714	0.294084	0	2361.25	0.0367687	0	11.0537	0.821727	37.048	33.064	101202	507.039	0.711908	0.0400333	0.0400333	212.057	174.253	42.1942	43.9673	37.8141	44.4534	1033.23	44.571	44.6611	1033.23	42.7658	44.6482	174.097	37.9904	2.53252	0	2.53252	0	0.636623	-0.654531	0	0.920587	8.98008	3.04228	1.48317	4.14498	0	6.46711	0	6.46711	8.01914	2.43917	195210	8.86697	4702.18	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	15.3369	72.6468	0	nan
112.233	78467.8	76.0563	83.8707	5146.47	34081.9	103.838	83.3056	103.609	59.0054	6378.9	738.158	5.91339	6.57656	0	0.766194	0.293338	0	2361.25	0.0367687	0	11.0537	0.826324	37.0481	33.0643	150036	2015.98	0.844641	0.0400333	0.0400333	216.702	179.066	41.8204	43.6978	37.6339	44.5456	1033.23	44.2477	44.8067	1033.23	42.51	44.802	174.097	37.9904	2.53285	0	2.53285	0	0.871237	-0.740814	0	0.919429	9.0166	3.01995	1.4932	4.08855	0	6.39618	0	6.39618	8.06329	2.40458	195195	8.72858	4714.95	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	15.6731	74.1169	0	nan
113.244	78467.8	76.0563	83.5877	5146.62	34081.7	88.1024	83.519	103.897	59.1482	6357.37	738.158	5.98181	6.55169	0	0.763373	0.292876	0	2361.25	0.0367687	0	11.0537	0.823673	37.0483	33.0646	189308	1132.14	1.07189	0.0400333	0.0400333	214.007	176.271	41.6009	43.5052	37.5527	44.5263	1033.23	43.9302	44.7865	1033.23	42.26	44.7769	174.097	37.9904	2.53338	0	2.53338	0	0.806565	1.20301	0	0.918233	9.05502	2.97518	1.50377	4.02697	0	6.28536	0	6.28536	8.10746	2.37061	195181	8.58975	4727.48	160.384	420.467	39.2658	39.2658	263.242	460.242	595.543	200.648	161.796	165.69	333.622	104.854	16.0111	75.618	0	nan
114.256	78467.8	76.0563	83.1429	5146.78	34081.6	69.9877	83.4918	103.823	59.1877	6323.54	738.158	5.87124	6.53176	0	0.760589	0.293997	0	2361.25	0.0367687	0	11.0537	0.821968	37.0485	33.0649	141480	624.479	0.942923	0.0400333	0.0400333	212.311	174.513	41.4128	43.8651	37.3735	44.5168	1033.23	43.628	44.6783	1033.23	42.022	44.6617	174.097	37.9904	2.5329	0	2.5329	0	0.788604	-1.82666	0	0.917165	9.08884	2.93906	1.51309	3.97325	0	6.22764	0	6.22764	8.14994	2.33646	195167	8.46913	4739.76	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.69	333.622	104.854	16.3509	77.0922	0	nan
115.267	78467.8	76.0563	82.8244	5146.98	34081.4	59.2509	83.4523	103.732	59.2176	6299.32	738.158	5.81829	6.51658	0	0.757998	0.294705	0	2361.25	0.0367687	0	11.0537	0.820047	37.0487	33.0652	97244.9	504.026	0.627266	0.0400333	0.0400333	210.432	172.564	41.2778	44.0886	37.2216	44.6263	1033.23	43.3288	44.7797	1033.23	41.7821	44.7694	174.097	37.9904	2.53273	0	2.53273	0	0.593753	-1.47461	0	0.916165	9.11975	2.90933	1.52156	3.92514	0	6.17328	0	6.17328	8.19101	2.30277	195153	8.35899	4751.82	160.384	420.467	39.2658	39.2658	263.242	460.242	595.544	200.648	161.796	165.691	333.622	104.854	16.6924	78.5464	0	nan
